ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
MC2178,SANTA MARIA NONOALCO,BENITO JUÁREZ,19.381,-99.1856,1,Mi_Barrio
MC1964,TLACOQUEMECATL,BENITO JUÁREZ,19.379,-99.1772,1,Mi_Barrio
MC2153,PIEDAD NARVARTE,BENITO JUÁREZ,19.4017,-99.1592,1,Mi_Barrio
MC2155,NARVARTE PONIENTE,BENITO JUÁREZ,19.4016,-99.1565,1,Mi_Barrio
MC2198,PIEDAD NARVARTE,BENITO JUÁREZ,19.4026,-99.1563,1,Mi_Barrio
MC2193,PIEDAD NARVARTE,BENITO JUÁREZ,19.404,-99.1513,1,Mi_Barrio
MC2201,PIEDAD NARVARTE,BENITO JUÁREZ,19.4021,-99.1524,1,Mi_Barrio
MC2187,PIEDAD NARVARTE,BENITO JUÁREZ,19.4026,-99.1555,1,Mi_Barrio
MC2189,DEL VALLE NORTE,BENITO JUÁREZ,19.4011,-99.1614,1,Mi_Barrio
MC2195,PIEDAD NARVARTE,BENITO JUÁREZ,19.4017,-99.1571,1,Mi_Barrio
MC2280,SAN JUAN,BENITO JUÁREZ,19.3787,-99.1836,1,Mi_Barrio
MC2276,SAN JUAN,BENITO JUÁREZ,19.3794,-99.1854,1,Mi_Barrio
MC1857,CIUDAD DE LOS DEPORTES,BENITO JUÁREZ,19.3807,-99.1831,1,Mi_Barrio
MC2284,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3874,-99.1822,1,Mi_Barrio
MC2286,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3925,-99.1817,1,Mi_Barrio
MC2298,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3951,-99.1808,1,Mi_Barrio
MC2302,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3883,-99.1835,1,Mi_Barrio
MC2303,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3885,-99.1861,1,Mi_Barrio
MC1798,8 DE AGOSTO 2069,BENITO JUÁREZ,19.3937,-99.1878,1,Mi_Barrio
MC2296,SANTA CRUZ,IZTACALCO,19.3874,-99.1189,1,Mi_Barrio
MC2297,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3902,-99.1875,1,Mi_Barrio
MC2299,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3869,-99.1898,1,Mi_Barrio
MC2338,TLACOQUEMECATL,BENITO JUÁREZ,19.3756,-99.1782,1,Mi_Barrio
MC4745,TLACOQUEMECATL,BENITO JUÁREZ,19.375,-99.1779,1,Mi_Barrio
MC2051,ALAMOS,BENITO JUÁREZ,19.3971,-99.1377,1,Mi_Barrio
MC2095,NARVARTE ORIENTE,BENITO JUÁREZ,19.3871,-99.1544,1,Mi_Barrio
MC1800,8 DE AGOSTO 2068,BENITO JUÁREZ,19.3942,-99.1866,1,Mi_Barrio
MC1818,ALAMOS,BENITO JUÁREZ,19.4008,-99.1422,1,Mi_Barrio
MC1825,ALAMOS,BENITO JUÁREZ,19.3936,-99.1443,1,Mi_Barrio
MC1828,ALAMOS,BENITO JUÁREZ,19.3956,-99.1454,1,Mi_Barrio
MC1817,NARVARTE ORIENTE,BENITO JUÁREZ,19.3985,-99.1511,1,Mi_Barrio
MC1933,DEL VALLE NORTE,BENITO JUÁREZ,19.398,-99.1687,1,Mi_Barrio
MC2144,DEL VALLE CENTRO,BENITO JUÁREZ,19.3856,-99.1613,1,Mi_Barrio
MC1918,DEL VALLE NORTE,BENITO JUÁREZ,19.3954,-99.1635,1,Mi_Barrio
MC2129,DEL VALLE NORTE,BENITO JUÁREZ,19.3904,-99.1619,1,Mi_Barrio
MC1935,DEL VALLE NORTE,BENITO JUÁREZ,19.3955,-99.1627,1,Mi_Barrio
MC1877,DEL VALLE CENTRO,BENITO JUÁREZ,19.3899,-99.168,1,Mi_Barrio
MC4744,INSURGENTES MIXCOAC,BENITO JUÁREZ,19.3755,-99.1867,1,Mi_Barrio
MC1876,DEL VALLE CENTRO,BENITO JUÁREZ,19.3876,-99.1639,1,Mi_Barrio
MC1906,DEL VALLE NORTE,BENITO JUÁREZ,19.3992,-99.1659,1,Mi_Barrio
MC500,DEL VALLE CENTRO,BENITO JUÁREZ,19.3834,-99.1684,1,Mi_Barrio
MC1892,DEL VALLE CENTRO,BENITO JUÁREZ,19.3831,-99.1675,1,Mi_Barrio
MC1897,DEL VALLE CENTRO,BENITO JUÁREZ,19.3867,-99.1636,1,Mi_Barrio
MC1920,DEL VALLE NORTE,BENITO JUÁREZ,19.401,-99.1639,1,Mi_Barrio
MC1934,DEL VALLE NORTE,BENITO JUÁREZ,19.3957,-99.1706,1,Mi_Barrio
MC2083,NAPOLES 2349,BENITO JUÁREZ,19.3977,-99.1755,1,Mi_Barrio
MC2005,INSURGENTES MIXCOAC,BENITO JUÁREZ,19.3726,-99.1807,1,Mi_Barrio
MC2340,TLACOQUEMECATL,BENITO JUÁREZ,19.3744,-99.1768,1,Mi_Barrio
MC2060,MODERNA,BENITO JUÁREZ,19.3982,-99.1334,1,Mi_Barrio
MC2074,NAPOLES 2349,BENITO JUÁREZ,19.3946,-99.1754,1,Mi_Barrio
MC2069,NAPOLES 2348,BENITO JUÁREZ,19.3879,-99.1767,1,Mi_Barrio
MC2078,NAPOLES 2348,BENITO JUÁREZ,19.3865,-99.1809,1,Mi_Barrio
MC2082,NAPOLES 2348,BENITO JUÁREZ,19.3868,-99.1777,1,Mi_Barrio
MC2251,POSTAL,BENITO JUÁREZ,19.3908,-99.1465,1,Mi_Barrio
MC2097,NARVARTE ORIENTE,BENITO JUÁREZ,19.3873,-99.1517,1,Mi_Barrio
MC2127,NARVARTE PONIENTE,BENITO JUÁREZ,19.3957,-99.1603,1,Mi_Barrio
MC2353,NARVARTE ORIENTE,BENITO JUÁREZ,19.3844,-99.1489,1,Mi_Barrio
MC2102,NARVARTE ORIENTE,BENITO JUÁREZ,19.3985,-99.1467,1,Mi_Barrio
MC2122,NARVARTE PONIENTE,BENITO JUÁREZ,19.3984,-99.1559,1,Mi_Barrio
MC2115,NARVARTE ORIENTE,BENITO JUÁREZ,19.3955,-99.1505,1,Mi_Barrio
MC2123,NARVARTE PONIENTE,BENITO JUÁREZ,19.3853,-99.1574,1,Mi_Barrio
MC2138,NARVARTE PONIENTE,BENITO JUÁREZ,19.389,-99.1582,1,Mi_Barrio
MC2151,NARVARTE PONIENTE,BENITO JUÁREZ,19.3982,-99.1544,1,Mi_Barrio
MC2093,NARVARTE ORIENTE,BENITO JUÁREZ,19.4012,-99.1462,1,Mi_Barrio
MC2166,NIÑOS HEROES,BENITO JUÁREZ,19.3855,-99.1448,1,Mi_Barrio
MC2174,CIUDAD DE LOS DEPORTES,BENITO JUÁREZ,19.3811,-99.1804,1,Mi_Barrio
MC2183,SANTA MARIA NONOALCO,BENITO JUÁREZ,19.3848,-99.1854,1,Mi_Barrio
MC2181,SANTA MARIA NONOALCO,BENITO JUÁREZ,19.3815,-99.1915,1,Mi_Barrio
MC2147,NARVARTE PONIENTE,BENITO JUÁREZ,19.4011,-99.1568,1,Mi_Barrio
MC2253,POSTAL,BENITO JUÁREZ,19.3904,-99.1439,1,Mi_Barrio
MC2289,GRANJAS MEXICO,IZTACALCO,19.3987,-99.099,1,Mi_Barrio
MC2301,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3852,-99.1832,1,Mi_Barrio
MC14197,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3924,-99.1843,1,Mi_Barrio
MC9856,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3961,-99.1833,1,Mi_Barrio
MC2291,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3895,-99.1872,1,Mi_Barrio
MC2292,SAN PEDRO DE LOS PINOS,BENITO JUÁREZ,19.3869,-99.1834,1,Mi_Barrio
MC2344,TLACOQUEMECATL,BENITO JUÁREZ,19.3766,-99.1758,1,Mi_Barrio
